LOCATION,ds,y
AUS,2003-01-01,100.62020000000001
AUS,2004-01-01,100.43055833333334
AUS,2005-01-01,99.58132916666666
AUS,2006-01-01,99.85805333333333
AUS,2007-01-01,100.354375
AUS,2008-01-01,98.77758416666667
AUS,2009-01-01,99.31354166666667
AUS,2010-01-01,100.05592083333333
AUS,2011-01-01,99.90127749999999
AUS,2012-01-01,100.02805583333334
AUS,2013-01-01,100.12839166666667
AUS,2014-01-01,100.17266333333333
AUS,2015-01-01,100.642
AUS,2016-01-01,100.98573333333333
AUS,2017-01-01,101.49197500000001
AUS,2018-01-01,101.52346666666666
AUS,2019-01-01,101.25365
AUS,2020-01-01,99.57160416666666
AUS,2021-01-01,101.1693
AUS,2022-01-01,101.03305636363638
AUT,2003-01-01,99.37269545454546
AUT,2004-01-01,100.67545833333332
AUT,2005-01-01,99.89383083333333
AUT,2006-01-01,101.923925
AUT,2007-01-01,102.2303
AUT,2008-01-01,99.40279833333334
AUT,2009-01-01,96.111645
AUT,2010-01-01,99.60161333333333
AUT,2011-01-01,100.0148075
AUT,2012-01-01,99.28537166666666
AUT,2013-01-01,99.28843
AUT,2014-01-01,99.63799583333333
AUT,2015-01-01,99.46171416666668
AUT,2016-01-01,99.75541166666666
AUT,2017-01-01,101.56375000000001
AUT,2018-01-01,101.98916666666666
AUT,2019-01-01,99.85037999999999
AUT,2020-01-01,97.99880416666667
AUT,2021-01-01,102.40303083333333
AUT,2022-01-01,101.04984916666666
BEL,2003-01-01,98.71633818181817
BEL,2004-01-01,100.968925
BEL,2005-01-01,99.99843750000001
BEL,2006-01-01,102.10094166666666
BEL,2007-01-01,101.78432500000001
BEL,2008-01-01,99.9159325
BEL,2009-01-01,97.57930416666666
BEL,2010-01-01,100.49390666666666
BEL,2011-01-01,100.41461333333332
BEL,2012-01-01,99.03224416666667
BEL,2013-01-01,99.50153666666667
BEL,2014-01-01,100.34460083333333
BEL,2015-01-01,100.4964925
BEL,2016-01-01,100.74310000000001
BEL,2017-01-01,101.09071666666667
BEL,2018-01-01,101.40450833333334
BEL,2019-01-01,100.22463833333335
BEL,2020-01-01,98.90983666666666
BEL,2021-01-01,102.31372499999999
BEL,2022-01-01,100.02070833333333
BRA,2003-01-01,99.60330818181818
BRA,2004-01-01,102.05296666666668
BRA,2005-01-01,100.32940916666666
BRA,2006-01-01,100.66975000000001
BRA,2007-01-01,102.42530833333332
BRA,2008-01-01,101.59927666666665
BRA,2009-01-01,99.49022500000001
BRA,2010-01-01,102.87672500000001
BRA,2011-01-01,101.554375
BRA,2012-01-01,100.94160833333332
BRA,2013-01-01,100.99245833333333
BRA,2014-01-01,98.95657083333333
BRA,2015-01-01,96.59443166666667
BRA,2016-01-01,97.40363833333333
BRA,2017-01-01,99.16219666666666
BRA,2018-01-01,100.23663416666666
BRA,2019-01-01,99.93163833333334
BRA,2020-01-01,99.41771666666666
BRA,2021-01-01,101.44816666666667
BRA,2022-01-01,100.02216666666668
CAN,2003-01-01,99.65635454545455
CAN,2004-01-01,100.55098666666667
CAN,2005-01-01,101.55307499999999
CAN,2006-01-01,100.75709166666667
CAN,2007-01-01,100.76703333333334
CAN,2008-01-01,98.9681475
CAN,2009-01-01,95.68619666666666
CAN,2010-01-01,100.44971833333334
CAN,2011-01-01,101.6709
CAN,2012-01-01,100.19761916666666
CAN,2013-01-01,99.14201583333333
CAN,2014-01-01,100.57503750000001
CAN,2015-01-01,99.93126666666667
CAN,2016-01-01,99.343845
CAN,2017-01-01,100.649885
CAN,2018-01-01,100.915055
CAN,2019-01-01,99.02814916666667
CAN,2020-01-01,96.45630583333333
CAN,2021-01-01,100.61025916666667
CAN,2022-01-01,101.870617
CHE,2003-01-01,98.67354818181819
CHE,2004-01-01,100.25318750000001
CHE,2005-01-01,100.538775
CHE,2006-01-01,101.88395833333334
CHE,2007-01-01,102.33964166666665
CHE,2008-01-01,100.7933675
CHE,2009-01-01,97.51500583333332
CHE,2010-01-01,101.051605
CHE,2011-01-01,100.72459166666665
CHE,2012-01-01,99.91711916666667
CHE,2013-01-01,100.25339000000001
CHE,2014-01-01,100.41244333333333
CHE,2015-01-01,99.38527916666668
CHE,2016-01-01,99.7634425
CHE,2017-01-01,100.87323333333332
CHE,2018-01-01,102.0012
CHE,2019-01-01,100.75909999999999
CHE,2020-01-01,99.28832833333333
CHE,2021-01-01,102.009475
CHE,2022-01-01,101.96566666666666
CHL,2003-01-01,101.8413
CHL,2004-01-01,102.744725
CHL,2005-01-01,102.33535
CHL,2006-01-01,101.52276666666667
CHL,2007-01-01,101.55269166666666
CHL,2008-01-01,98.54190166666666
CHL,2009-01-01,96.51906916666667
CHL,2010-01-01,103.81709166666667
CHL,2011-01-01,102.33853333333333
CHL,2012-01-01,101.73947500000001
CHL,2013-01-01,100.93960333333332
CHL,2014-01-01,97.57901416666668
CHL,2015-01-01,96.89276083333333
CHL,2016-01-01,96.77804583333334
CHL,2017-01-01,97.89395
CHL,2018-01-01,100.830215
CHL,2019-01-01,98.398455
CHL,2020-01-01,98.15226083333333
CHL,2021-01-01,103.55276666666667
CHL,2022-01-01,98.323605
CHN,2003-01-01,103.59107545454545
CHN,2004-01-01,103.06883333333333
CHN,2005-01-01,101.86794166666668
CHN,2006-01-01,102.30312500000001
CHN,2007-01-01,102.65990833333335
CHN,2008-01-01,98.72245416666668
CHN,2009-01-01,100.75714666666666
CHN,2010-01-01,101.62576666666666
CHN,2011-01-01,99.63970916666666
CHN,2012-01-01,99.02263583333333
CHN,2013-01-01,99.04589666666668
