Country Name,Country Code,2015 [YR2015] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2016 [YR2016] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2017 [YR2017] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2018 [YR2018] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2019 [YR2019] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2020 [YR2020] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2021 [YR2021] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Ecuador,ECU,6130.58667556768,5965.64327318051,6012.80331742787,5976.24534526558,5863.91056629908,5331.97661096757,5492.48927051545
"Egypt, Arab Rep.",EGY,3370.38244716015,3444.26826184855,3517.58789452627,3634.83426919152,3768.62751137457,3836.09115358719,3898.51658195479
El Salvador,SLV,3761.51368000275,3845.02249616431,3921.31586489377,4009.71655494156,4104.91788888425,3761.75413246649,4134.32168932576
Equatorial Guinea,GNQ,9788.98377058219,8594.45019016437,7818.05356358065,7079.65050227129,6472.07086074269,6030.51757008333,5833.1029320687
Eritrea,ERI,..,..,..,..,..,..,..
Estonia,EST,17402.0376128079,17945.9449641749,18962.4103006448,19611.6109936281,20269.575137379,20118.1050729983,21707.2407508041
Eswatini,SWZ,3583.31129031343,3594.16706693255,3638.76878202013,3695.94994187242,3766.06299935158,3672.65334987562,3923.57733292099
Ethiopia,ETH,630.31268211446,671.290642669283,715.748805983305,744.367594372728,785.485050212771,811.255620648886,834.957958630514
Faroe Islands,FRO,52726.7422373484,..,..,..,..,..,..
Fiji,FJI,5105.26262664449,5223.45074372868,5499.20090362562,5708.99261980924,5679.0507253517,4703.57670791071,4442.93260413278
Finland,FIN,42801.9081167285,43878.9667273579,45173.6294067199,45627.9198947233,46135.8814242631,45053.758678116,46297.2418204236
France,FRA,36652.9223052178,36956.7958003293,37694.0833027304,38259.6977698474,38832.0242014303,35712.0751986828,38045.9021613006
French Polynesia,PYF,18252.5199732421,18754.2804926205,19023.9226235268,19419.5383697498,19749.4312702373,17644.7941932285,17701.6945524745
Gabon,GAB,7090.45460996325,7038.57725442015,6893.38430356949,6786.89032695312,6893.32308216157,6619.68858056614,6577.04415323017
"Gambia, The",GMB,611.671334233568,606.316314365726,618.48088511643,645.938308722218,668.635248433711,655.576242590987,666.471212255386
Georgia,GEO,4014.18594419329,4128.38560259133,4327.72758530017,4539.08752230476,4773.42330884899,4447.664250894,4931.82372520107
Germany,DEU,41103.2564363768,41682.0322433511,42639.5544087286,42928.7412368012,43284.6024553493,41650.4227126493,42726.485322007
Ghana,GHA,1711.29066611485,1728.11661627866,1827.29457877002,1899.82990284843,1981.63615575459,1951.08652852438,2014.73647352693
Gibraltar,GIB,..,..,..,..,..,..,..
Greece,GRC,18083.8779056547,18070.7807322854,18304.3076770645,18647.4957207515,19018.9021220823,17343.6099878902,18907.8491448015
Greenland,GRL,44536.4013080999,46561.8315883072,46598.8233034331,47013.0349493846,47908.106718779,47957.7936697606,..
Grenada,GRD,8379.62184743156,8621.61774103594,8933.22763662535,9252.67605907521,9247.90865964199,7915.21109400898,8223.29847749332
Guam,GUM,34522.3779304433,34509.6006451551,34763.081137295,34472.95939787,35378.9557673086,31236.0797479713,31325.3962959769
Guatemala,GTM,3994.63691288475,4034.15848231358,4091.26800012075,4163.48446077382,4263.07805308999,4124.6999812741,4388.43680329451
Guinea,GIN,756.425594058563,816.847083875891,878.179276444153,910.652647044683,937.703136755322,959.431978411073,972.779035314863
Guinea-Bissau,GNB,585.957010585942,607.166334750321,627.616935087421,620.771028276283,633.725743772769,604.595146033044,613.898109896942
Guyana,GUY,5668.42976474423,5852.83773089954,6038.27345641889,6127.70538051386,6348.69808969246,9126.80604679143,10857.3381487023
Haiti,HTI,1404.15521407257,1409.57751612674,1425.05091173052,1429.23135334836,1386.51851658061,1322.81405814194,1283.05286964319
Honduras,HND,2257.2227122596,2303.87587940671,2373.78885531469,2423.27329902983,2446.10530994908,2190.97187254256,2428.02918076814
"Hong Kong SAR, China",HKG,42431.8882817277,43087.2657341216,44380.526522314,45280.2113679239,44192.3802322275,41448.4907994199,44481.3397599363
Hungary,HUN,12717.038597002,13035.3528590909,13628.4044885706,14377.421963001,15082.6714945249,14427.8188846629,15518.7686622368
Iceland,ISL,52951.6815110898,55513.6423015865,56501.4576788793,57697.5982793803,57806.0637541946,52983.8118224464,54417.2890524178
India,IND,1590.17391842781,1701.18379590649,1795.91138334142,1891.13794439121,1941.81508305731,1796.48873981565,1936.94270206376
Indonesia,IDN,3322.58168813599,3453.04943984718,3591.7800383847,3741.30527715913,3892.42167262992,3780.14120998019,3892.5389904925
"Iran, Islamic Rep.",IRN,4990.93679760475,5332.10103415128,5401.45593912322,5211.11164308815,5017.11721737502,5141.08477874704,5344.9580270883
