Country Name,Country Code,2015 [YR2015] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2016 [YR2016] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2017 [YR2017] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2018 [YR2018] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2019 [YR2019] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2020 [YR2020] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],2021 [YR2021] - GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD]
Nauru,NRU,7736.22363607495,7835.97153260549,7230.7337216993,7515.93478852809,7387.07603185039,7360.95180143829,7354.31806060532
Nepal,NPL,882.307448776577,878.150174846298,946.042327746355,1006.60666420222,1061.48601942862,1018.10766517934,1037.09212156798
Netherlands,NLD,45193.4032187971,45938.7850440865,46997.3454541962,47826.8191172843,48443.7320540283,46303.21886247,48301.528960019
New Caledonia,NCL,32428.5824862295,..,..,..,..,..,..
New Zealand,NZL,38630.7265886928,39195.8076812509,39759.1506503582,40365.1957031236,40599.0315482907,39216.2248628459,40415.4680058037
Nicaragua,NIC,2025.32477597575,2087.70859911231,2153.61273150083,2052.13338335777,1947.40761487163,1886.51311080129,2052.90085974992
Niger,NER,481.111299477459,489.433810667843,494.616646346765,510.573129261318,520.919398398195,519.678793484687,507.711129922835
Nigeria,NGA,2679.55476480921,2570.96027836553,2527.00012036433,2512.0809827586,2505.46274518312,2401.18390022989,2429.58578108445
North Macedonia,MKD,4861.55397141497,4994.55895240773,5043.69224811274,5184.69447115249,5386.20032539651,5067.21360634667,5287.06837886027
Northern Mariana Islands,MNP,17665.1007493109,22995.5274095066,28549.3265760963,23220.9981494333,20818.1538599927,..,..
Norway,NOR,74355.5158575643,74493.1179371245,75610.6494832583,75953.5819514803,76005.224786526,75017.1567472977,77512.89678936
Oman,OMN,18777.4330589162,18799.808451388,18260.005074704,18256.6531453301,18044.2704535008,17662.242841682,18300.7619953758
Pakistan,PAK,1282.44315294243,1337.12337361832,1377.96967429473,1440.42539473925,1452.85157330085,1409.69760074979,1473.8648995053
Palau,PLW,15761.3633809149,15728.7760088431,15069.4663574461,15062.9567623759,15078.7089537793,13662.754094839,11806.8916100821
Panama,PAN,13669.5594424097,14099.9363233454,14634.8425025331,14922.1299997158,15122.517274072,12230.0395894753,13921.2627427274
Papua New Guinea,PNG,2502.08429055221,2575.07867401589,2603.0263162191,2536.09418094851,2590.50515304414,2455.15598423553,2413.07097588663
Paraguay,PRY,5861.40189546648,6025.09676890452,6226.6854198333,6338.51367820775,6229.22489536642,6095.39137530699,6264.89473641197
Peru,PER,6180.1949572907,6337.65811019409,6400.11661460026,6530.50297708457,6550.52823999169,5749.01873201867,6437.10202262345
